"_time","IP_Sessions(K)"
"2021-06-15T18:30:00.000-0400","12506.228"
"2021-06-15T18:45:00.000-0400",12498
"2021-06-15T19:00:00.000-0400","12495.082999999999"
"2021-06-15T19:15:00.000-0400","12485.315"
"2021-06-15T19:30:00.000-0400","12479.585"
"2021-06-15T19:45:00.000-0400","12469.123"
"2021-06-15T20:00:00.000-0400","12463.028999999999"
"2021-06-15T20:15:00.000-0400","12452.425"
"2021-06-15T20:30:00.000-0400","12439.101999999999"
"2021-06-15T20:45:00.000-0400","12423.673"
"2021-06-15T21:00:00.000-0400","12408.315"
"2021-06-15T21:15:00.000-0400","12387.593"
"2021-06-15T21:30:00.000-0400","12364.765"
"2021-06-15T21:45:00.000-0400","12338.785"
"2021-06-15T22:00:00.000-0400","12311.31"
"2021-06-15T22:15:00.000-0400","12282.95"
"2021-06-15T22:30:00.000-0400","12253.234"
"2021-06-15T22:45:00.000-0400","12223.199"
"2021-06-15T23:00:00.000-0400","12193.966"
"2021-06-15T23:15:00.000-0400","12165.171999999999"
"2021-06-15T23:30:00.000-0400","12137.904999999999"
"2021-06-15T23:45:00.000-0400","12111.79"
"2021-06-16T00:00:00.000-0400","12088.103"
"2021-06-16T00:15:00.000-0400","12063.483"
"2021-06-16T00:30:00.000-0400","12041.035000000002"
"2021-06-16T00:45:00.000-0400","12018.43"
"2021-06-16T01:00:00.000-0400","11997.027"
"2021-06-16T01:15:00.000-0400","11976.812"
"2021-06-16T01:30:00.000-0400","11958.273000000001"
"2021-06-16T01:45:00.000-0400","11941.526"
"2021-06-16T02:00:00.000-0400","11923.560999999998"
"2021-06-16T02:15:00.000-0400","11909.452"
"2021-06-16T02:30:00.000-0400","11896.094"
"2021-06-16T02:45:00.000-0400","11884.704"
"2021-06-16T03:00:00.000-0400","11874.635"
"2021-06-16T03:15:00.000-0400","11865.483"
"2021-06-16T03:30:00.000-0400","11856.024000000001"
"2021-06-16T03:45:00.000-0400","11849.373000000001"
"2021-06-16T04:00:00.000-0400","11844.039"
"2021-06-16T04:15:00.000-0400","11841.519"
"2021-06-16T04:30:00.000-0400","11839.813"
"2021-06-16T04:45:00.000-0400","11838.907000000001"
"2021-06-16T05:00:00.000-0400","11839.449"
"2021-06-16T05:15:00.000-0400","11842.638"
"2021-06-16T05:30:00.000-0400","11850.576"
"2021-06-16T05:45:00.000-0400","11860.46"
"2021-06-16T06:00:00.000-0400","11875.607"
"2021-06-16T06:15:00.000-0400","11895.579999999998"
