"_time","IP_Sessions(K)"
"2021-06-19T08:00:00.000-0400","12027.697"
"2021-06-19T09:00:00.000-0400","12152.149000000001"
"2021-06-19T10:00:00.000-0400","12258.544000000002"
"2021-06-19T11:00:00.000-0400","12335.205000000002"
"2021-06-19T12:00:00.000-0400","12389.652"
"2021-06-19T13:00:00.000-0400","12415.768"
"2021-06-19T14:00:00.000-0400","12432.041000000001"
"2021-06-19T15:00:00.000-0400","12439.079"
"2021-06-19T16:00:00.000-0400","12440.896"
"2021-06-19T17:00:00.000-0400","12441.931"
"2021-06-19T18:00:00.000-0400","12436.821"
"2021-06-19T19:00:00.000-0400","12427.29"
"2021-06-19T20:00:00.000-0400","12414.399"
"2021-06-19T21:00:00.000-0400","12387.031"
"2021-06-19T22:00:00.000-0400","12327.437999999998"
"2021-06-19T23:00:00.000-0400","12219.653"
"2021-06-20T00:00:00.000-0400","12116.29"
"2021-06-20T01:00:00.000-0400","11997.855000000001"
"2021-06-20T02:00:00.000-0400","11916.490999999998"
"2021-06-20T03:00:00.000-0400","11851.6"
"2021-06-20T04:00:00.000-0400","11803.469"
"2021-06-20T05:00:00.000-0400","11776.828000000001"
"2021-06-20T06:00:00.000-0400","11807.081"
"2021-06-20T07:00:00.000-0400","11884.867000000002"
"2021-06-20T08:00:00.000-0400","12001.401999999998"
"2021-06-20T09:00:00.000-0400","12127.080999999998"
"2021-06-20T10:00:00.000-0400","12238.067"
"2021-06-20T11:00:00.000-0400","12325.308"
"2021-06-20T12:00:00.000-0400","12388.183"
"2021-06-20T13:00:00.000-0400","12424.281"
"2021-06-20T14:00:00.000-0400","12446.371"
"2021-06-20T15:00:00.000-0400","12460.072"
"2021-06-20T16:00:00.000-0400","12471.363000000001"
"2021-06-20T17:00:00.000-0400","12475.844"
"2021-06-20T18:00:00.000-0400","12476.738999999998"
"2021-06-20T19:00:00.000-0400","12476.185"
"2021-06-20T20:00:00.000-0400","12460.233"
"2021-06-20T21:00:00.000-0400","12413.928"
"2021-06-20T22:00:00.000-0400","12341.698"
"2021-06-20T23:00:00.000-0400","12236.477"
"2021-06-21T00:00:00.000-0400","12133.45"
"2021-06-21T01:00:00.000-0400","12047.203999999998"
"2021-06-21T02:00:00.000-0400","11976.159"
"2021-06-21T03:00:00.000-0400","11923.131000000001"
"2021-06-21T04:00:00.000-0400","11890.903999999999"
"2021-06-21T05:00:00.000-0400","11909.898000000001"
"2021-06-21T06:00:00.000-0400","11991.428"
"2021-06-21T07:00:00.000-0400","12121.679"
"2021-06-21T08:00:00.000-0400","12267.814999999999"
"2021-06-21T09:00:00.000-0400","12391.69"
"2021-06-21T10:00:00.000-0400","12489.464"
"2021-06-21T11:00:00.000-0400","12554.970000000001"
"2021-06-21T12:00:00.000-0400","12586.215"
"2021-06-21T13:00:00.000-0400","12605.136"
"2021-06-21T14:00:00.000-0400","12619.154"
"2021-06-21T15:00:00.000-0400","12627.14"
"2021-06-21T16:00:00.000-0400","12629.565"
"2021-06-21T17:00:00.000-0400","12619.655"
"2021-06-21T18:00:00.000-0400","12579.974"
"2021-06-21T19:00:00.000-0400","12556.612"
"2021-06-21T20:00:00.000-0400","12524.127"
"2021-06-21T21:00:00.000-0400","12468.349"
