"_time","IP_Sessions(K)"
"2021-05-26T11:00:00.000-0400","12471.918"
"2021-05-26T12:00:00.000-0400","12493.931999999999"
"2021-05-26T13:00:00.000-0400","12504.897"
"2021-05-26T14:00:00.000-0400","12519.979000000001"
"2021-05-26T15:00:00.000-0400","12527.139000000001"
"2021-05-26T16:00:00.000-0400","12529.608"
"2021-05-26T17:00:00.000-0400","12518.786999999998"
"2021-05-26T18:00:00.000-0400","12491.738000000001"
"2021-05-26T19:00:00.000-0400","12461.233"
"2021-05-26T20:00:00.000-0400","12408.051"
"2021-05-26T21:00:00.000-0400","12351.107"
"2021-05-26T22:00:00.000-0400","12257.965"
"2021-05-26T23:00:00.000-0400","12141.134999999998"
"2021-05-27T00:00:00.000-0400","12035.508999999998"
"2021-05-27T01:00:00.000-0400","11946.916"
"2021-05-27T02:00:00.000-0400","11878.710000000001"
"2021-05-27T03:00:00.000-0400","11831.519"
"2021-05-27T04:00:00.000-0400","11803.128"
"2021-05-27T05:00:00.000-0400","11827.610999999999"
"2021-05-27T06:00:00.000-0400","11913.478"
"2021-05-27T07:00:00.000-0400","12043.053"
"2021-05-27T08:00:00.000-0400","12182.434"
"2021-05-27T09:00:00.000-0400","12296.705000000002"
"2021-05-27T10:00:00.000-0400","12386.2"
"2021-05-27T11:00:00.000-0400","12443.133"
"2021-05-27T12:00:00.000-0400","12464.964000000002"
"2021-05-27T13:00:00.000-0400","12481.446"
"2021-05-27T14:00:00.000-0400","12494.029999999999"
"2021-05-27T15:00:00.000-0400","12503.137999999999"
"2021-05-27T16:00:00.000-0400","12508.082"
"2021-05-27T17:00:00.000-0400","12502.008"
"2021-05-27T18:00:00.000-0400","12315.568"
"2021-05-27T19:00:00.000-0400","12316.551"
"2021-05-27T20:00:00.000-0400","12286.961"
"2021-05-27T21:00:00.000-0400","12234.731"
"2021-05-27T22:00:00.000-0400","12141.943000000001"
"2021-05-27T23:00:00.000-0400","12025.805"
"2021-05-28T00:00:00.000-0400","11925.457999999999"
"2021-05-28T01:00:00.000-0400","11837.979"
"2021-05-28T02:00:00.000-0400","11769.071"
"2021-05-28T03:00:00.000-0400","11720.365000000002"
"2021-05-28T04:00:00.000-0400","11691.199"
"2021-05-28T05:00:00.000-0400","11712.732"
"2021-05-28T06:00:00.000-0400","11795.148"
"2021-05-28T07:00:00.000-0400","11921.571"
"2021-05-28T08:00:00.000-0400","12064.225"
"2021-05-28T09:00:00.000-0400","12187.736"
"2021-05-28T10:00:00.000-0400","12284.07"
"2021-05-28T11:00:00.000-0400","12347.208"
"2021-05-28T12:00:00.000-0400","12376.374999999998"
"2021-05-28T13:00:00.000-0400","12392.3"
"2021-05-28T14:00:00.000-0400","12406.955"
"2021-05-28T15:00:00.000-0400","12415.521"
"2021-05-28T16:00:00.000-0400","12414.909"
"2021-05-28T17:00:00.000-0400","12402.296"
"2021-05-28T18:00:00.000-0400","12374.542999999998"
"2021-05-28T19:00:00.000-0400","12345.537"
"2021-05-28T20:00:00.000-0400","12306.691"
"2021-05-28T21:00:00.000-0400","12252.618999999999"
"2021-05-28T22:00:00.000-0400","12168.538"
"2021-05-28T23:00:00.000-0400","12063.513"
"2021-05-29T00:00:00.000-0400","11957.832"
"2021-05-29T01:00:00.000-0400","11862.052"
"2021-05-29T02:00:00.000-0400","11782.95"
"2021-05-29T03:00:00.000-0400","11722.552"
"2021-05-29T04:00:00.000-0400","11677.969"
"2021-05-29T05:00:00.000-0400","11661.177"
"2021-05-29T06:00:00.000-0400","11700.258000000002"
"2021-05-29T07:00:00.000-0400","11784.103"
"2021-05-29T08:00:00.000-0400","11901.706"
"2021-05-29T09:00:00.000-0400","12020.649"
"2021-05-29T10:00:00.000-0400","12121.783"
"2021-05-29T11:00:00.000-0400","12197.896999999999"
"2021-05-29T12:00:00.000-0400","12242.982"
"2021-05-29T13:00:00.000-0400","12266.078999999998"
"2021-05-29T14:00:00.000-0400","12277.455"
"2021-05-29T15:00:00.000-0400","12278.411"
"2021-05-29T16:00:00.000-0400","12279.369999999999"
"2021-05-29T17:00:00.000-0400","12278.980000000001"
"2021-05-29T18:00:00.000-0400","12268.482"
"2021-05-29T19:00:00.000-0400","12259.585"
"2021-05-29T20:00:00.000-0400","12242.677"
"2021-05-29T21:00:00.000-0400","12213.182"
"2021-05-29T22:00:00.000-0400","12156.372"
"2021-05-29T23:00:00.000-0400","12060.960000000001"
"2021-05-30T00:00:00.000-0400","11957.764"
"2021-05-30T01:00:00.000-0400","11864.714"
"2021-05-30T02:00:00.000-0400","11786.198999999999"
"2021-05-30T03:00:00.000-0400","11711.462"
"2021-05-30T04:00:00.000-0400","11679.954"
"2021-05-30T05:00:00.000-0400","11654.169"
"2021-05-30T06:00:00.000-0400","11678.954000000002"
"2021-05-30T07:00:00.000-0400","11747.845000000001"
"2021-05-30T08:00:00.000-0400","11855.214"
"2021-05-30T09:00:00.000-0400","11973.482"
"2021-05-30T10:00:00.000-0400","12077.522"
"2021-05-30T11:00:00.000-0400","12159.625"
"2021-05-30T12:00:00.000-0400","12217.057999999999"
"2021-05-30T13:00:00.000-0400","12253.783000000001"
"2021-05-30T14:00:00.000-0400","12275.535"
"2021-05-30T15:00:00.000-0400","12287.751"
"2021-05-30T16:00:00.000-0400","12295.280999999999"
"2021-05-30T17:00:00.000-0400","12298.252"
"2021-05-30T18:00:00.000-0400","12297.75"
"2021-05-30T19:00:00.000-0400","12297.269"
"2021-05-30T20:00:00.000-0400","12289.196999999998"
"2021-05-30T21:00:00.000-0400","12255.027999999998"
"2021-05-30T22:00:00.000-0400","12176.659"
"2021-05-30T23:00:00.000-0400","12073.013"
"2021-05-31T00:00:00.000-0400","11978.608"
"2021-05-31T01:00:00.000-0400","11895.092"
"2021-05-31T02:00:00.000-0400","11828.663"
"2021-05-31T03:00:00.000-0400","11780.412"
"2021-05-31T04:00:00.000-0400","11749.832"
"2021-05-31T05:00:00.000-0400","11771.862"
"2021-05-31T06:00:00.000-0400","11856.129"
"2021-05-31T07:00:00.000-0400","11990.581"
"2021-05-31T08:00:00.000-0400","12138.872"
"2021-05-31T09:00:00.000-0400","12259.802"
"2021-05-31T10:00:00.000-0400","12351.244"
"2021-05-31T11:00:00.000-0400","12415.5"
"2021-05-31T12:00:00.000-0400","12445.009"
"2021-05-31T13:00:00.000-0400","12462.755"
"2021-05-31T14:00:00.000-0400","12476.369"
"2021-05-31T15:00:00.000-0400","12486.090999999999"
"2021-05-31T16:00:00.000-0400","12490.233"
"2021-05-31T17:00:00.000-0400","12477.722"
"2021-05-31T18:00:00.000-0400","12447.412"
"2021-05-31T19:00:00.000-0400","12419.405"
"2021-05-31T20:00:00.000-0400","12387.706999999999"
"2021-05-31T21:00:00.000-0400","12332.918000000001"
"2021-05-31T22:00:00.000-0400","12242.845"
"2021-05-31T23:00:00.000-0400","12124.596"
"2021-06-01T00:00:00.000-0400",12022
"2021-06-01T01:00:00.000-0400","11932.249"
"2021-06-01T02:00:00.000-0400","11863.391"
"2021-06-01T03:00:00.000-0400","11813.744999999999"
"2021-06-01T04:00:00.000-0400","11781.882000000001"
"2021-06-01T05:00:00.000-0400","11807.29"
"2021-06-01T06:00:00.000-0400","11894.41"
"2021-06-01T07:00:00.000-0400","12027.109999999999"
"2021-06-01T08:00:00.000-0400","12167.997"
"2021-06-01T09:00:00.000-0400","12286.759"
"2021-06-01T10:00:00.000-0400","12376.052"
"2021-06-01T11:00:00.000-0400","12432.442"
"2021-06-01T12:00:00.000-0400","12457.386999999999"
"2021-06-01T13:00:00.000-0400","12469.607"
"2021-06-01T14:00:00.000-0400","12480.974"
"2021-06-01T15:00:00.000-0400","12490.074"
"2021-06-01T16:00:00.000-0400","12493.326000000001"
